Reference	Genotype	Phenotype
ABH08225	rifamycin__rifampin resistance protein	rifamycin
ABI18324	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ABI20753	beta-lactam__CTX-M	beta-lactam
ABI50489	trimethoprim__dfrA19	trimethoprim
ABI81214	tetracycline__tetM	tetracycline
ABJ15828	trimethoprim__dfrA12	trimethoprim
ABJ55333	beta-lactam__PBP-2X	beta-lactam
ABJ74149	trimethoprim__dfrA15	trimethoprim
ABK51578	chloramphenicol__cmlA	chloramphenicol
ABK63186	beta-lactam__VIM-14	beta-lactam
ABK86187	vancomycin__vanS	vancomycin
ABK86352	beta-lactam__class A beta-lactamase	beta-lactam
ABL62887	trimethoprim__dfrA16	trimethoprim
ABM73648	beta-lactam__class A beta-lactamase	beta-lactam
ABM94007	bacitracin__bacA	bacitracin
ABN11268	tetracycline__tetM	tetracycline
ABN48512	beta-lactam__OXA-2	beta-lactam
ABN79417	tetracycline__tetW	tetracycline
ABN80187	tetracycline__tetW	tetracycline
ABO12177	multidrug__adeB	multidrug
ABO42050	aminoglycoside__aadA	aminoglycoside
ABO43851	tetracycline__tetM	tetracycline
ABO60984	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60985	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60988	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60989	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60991	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60993	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60996	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO60998	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO61000	beta-lactam__metallo-beta-lactamase	beta-lactam
ABO93588	quinolone__qnrB	quinolone
ABP04245	beta-lactam__CTX-M-62	beta-lactam
ABP35557	chloramphenicol__catB	chloramphenicol
ABP49606	beta-lactam__ampC	beta-lactam
ABP68837	quinolone__qnrB	quinolone
ABP89888	tetracycline__tetM	tetracycline
ABQ10556	beta-lactam__PER-1	beta-lactam
ABQ23577	beta-lactam__LEN-17	beta-lactam
ABQ41442	chloramphenicol__chloramphenicol exporter	chloramphenicol
ABQ42698	beta-lactam__ampC	beta-lactam
ABQ96616	trimethoprim__dfrA1	trimethoprim
ABQ96629	sulfonamide__sul1	sulfonamide
ABQ96639	beta-lactam__mecA	beta-lactam
ABR13270	multidrug__acrA	multidrug
ABR13271	multidrug__acrB	multidrug
ABS19068	tetracycline__tetA	tetracycline
ABS58643	beta-lactam__class C beta-lactamase	beta-lactam
ABS72055	vancomycin__vanD	vancomycin
ABS72056	vancomycin__vanY	vancomycin
ABS72058	vancomycin__vanD	vancomycin
ABS72059	vancomycin__vanD	vancomycin
ABS73653	multidrug__ykkC	multidrug
ABS73654	multidrug__ykkD	multidrug
ABU86807	quinolone__qnrB	quinolone
ABU97164	beta-lactam__CMY-2	beta-lactam
ABV60283	trimethoprim__dfrA1	trimethoprim
ABV60286	beta-lactam__PSE-1	beta-lactam
ABV66095	quinolone__qnrB	quinolone
ABV82118	tetracycline__tet32	tetracycline
ABV82120	tetracycline__tet32	tetracycline
ABW03156	quinolone__qnrB	quinolone
ABW03157	quinolone__qnrB	quinolone
ABW06431	trimethoprim__dfrA16	trimethoprim
ABW24731	tetracycline__tetM	tetracycline
ABW39616	tetracycline__tetB	tetracycline
ABW72062	multidrug__acrB	multidrug
ABW78937	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ABW87257	beta-lactam__metallo-beta-lactamase	beta-lactam
ABX00596	macrolide-lincosamide-streptogramin__lmrA	macrolide-lincosamide-streptogramin
ABX00620	macrolide-lincosamide-streptogramin__lmrB	macrolide-lincosamide-streptogramin
ABX28186	tetracycline__tetB	tetracycline
ABX72042	quinolone__qnrB	quinolone
ABX75558	multidrug__multidrug_transporter	multidrug
ABX79411	vancomycin__vanR	vancomycin
ABX79417	vancomycin__vanS	vancomycin
ABX79421	vancomycin__vanY	vancomycin
ABY43546	beta-lactam__class A beta-lactamase	beta-lactam
ABY44328	beta-lactam__class B beta-lactamase	beta-lactam
ABY55282	beta-lactam__OXA-1	beta-lactam
ABY55284	trimethoprim__dfrA7	trimethoprim
ABY55286	trimethoprim__dfrA1	trimethoprim
ABY58049	beta-lactam__class C beta-lactamase	beta-lactam
ABY66120	beta-lactam__CTX-M-14	beta-lactam
ABY77969	tetracycline__tetB	tetracycline
ABY79006	beta-lactam__OXA-142	beta-lactam
ABY91240	beta-lactam__KPC-5	beta-lactam
ABZ80060	rifamycin__rifampin resistance protein	rifamycin
ABZ81086	beta-lactam__ampC	beta-lactam
ACA09611	beta-lactam__SHV-28	beta-lactam
ACA23187	tetracycline__tetW	tetracycline
ACA23192	tetracycline__tetW	tetracycline
ACA23195	tetracycline__tetW	tetracycline
ACA34343	beta-lactam__KPC-4	beta-lactam
ACA34904	beta-lactam__VEB-6	beta-lactam
ACA35067	aminoglycoside__aph(3)-I	aminoglycoside
ACA42497	tetracycline__tetS	tetracycline
ACA48663	aminoglycoside__ant(2)-I	aminoglycoside
ACA48664	chloramphenicol__catB	chloramphenicol
ACB16010	bacitracin__bacA	bacitracin
ACB17069	multidrug__mdtO	multidrug
ACB17398	multidrug__mdtN	multidrug
ACB17400	multidrug__mdfA	multidrug
ACB17556	multidrug__mdtP	multidrug
ACB17731	multidrug__acrA	multidrug
ACB17801	multidrug__mdtM	multidrug
ACB17952	multidrug__mdtE	multidrug
ACB18310	multidrug__mdtF	multidrug
ACB18769	multidrug__emrD	multidrug
ACB19549	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ACC64523	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
ACC85616	fosfomycin__fosA	fosfomycin
ACC93634	vancomycin__vanX	vancomycin
ACC95128	beta-lactam__metallo-beta-lactamase	beta-lactam
ACC95408	chloramphenicol__cmlA	chloramphenicol
ACC96132	aminoglycoside__aadD	aminoglycoside
ACD01409	quinolone__qnrB	quinolone
ACD03314	chloramphenicol__catB	chloramphenicol
ACD76089	aminoglycoside__aph(3)-I	aminoglycoside
ACD88490	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ACE78320	macrolide-lincosamide-streptogramin__mphB	macrolide-lincosamide-streptogramin
ACE95087	quinolone__qnrA	quinolone
ACF08831	tetracycline__tetM	tetracycline
ACF30471	beta-lactam__penA	beta-lactam
ACG58975	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ACH85847	tetracycline__tetA	tetracycline
ACH85850	aminoglycoside__aph(6)-I	aminoglycoside
ACH85966	tetracycline__tetM	tetracycline
ACI02010	tetracycline__tet40	tetracycline
ACI02017	tetracycline__tetA	tetracycline
ACI02041	tetracycline__tetW	tetracycline
ACI02892	chloramphenicol__floR	chloramphenicol
ACI02941	tetracycline__tetX	tetracycline
ACI02996	aminoglycoside__aac(3)-II	aminoglycoside
ACI32877	trimethoprim__dfrA14	trimethoprim
ACI71754	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
ACI75321	multidrug__mdtL	multidrug
ACI76101	multidrug__mdtE	multidrug
ACI87546	multidrug__acrB	multidrug
ACJ22953	trimethoprim__dfrA1	trimethoprim
ACJ24509	quinolone__qnrS	quinolone
ACJ61335	beta-lactam__RTG-4	beta-lactam
ACJ64205	chloramphenicol__chloramphenicol exporter	chloramphenicol
ACJ76644	beta-lactam__IMP-4	beta-lactam
ACK77685	multidrug__acrB	multidrug
ACL27011	trimethoprim__dfrA1	trimethoprim
ACL81266	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
ACM47283	vancomycin__vanR	vancomycin
ACM47285	vancomycin__vanY	vancomycin
ACM47287	vancomycin__vanD	vancomycin
ACM47288	vancomycin__vanX	vancomycin
ACN65403	sulfonamide__sul1	sulfonamide
ACN65732	multidrug__emrD	multidrug
ACO24447	trimethoprim__dfrA17	trimethoprim
ACP19236	vancomycin__vanA	vancomycin
ACP19238	vancomycin__vanY	vancomycin
ACP19239	vancomycin__vanZ	vancomycin
ACP31588	quinolone__qnrB	quinolone
ACQ53948	bacitracin__bacA	bacitracin
ACQ66104	vancomycin__vanB	vancomycin
ACQ66105	vancomycin__vanB	vancomycin
ACR56331	beta-lactam__CTX-M-89	beta-lactam
ACR66837	beta-lactam__OXA-17	beta-lactam
ACR66838	trimethoprim__dfrA21	trimethoprim
AE000516.2.gene277.p01	aminoglycoside__aac(2)-I	aminoglycoside
AE000516.2.gene3301.p01	multidrug__emrE	multidrug
AE015929.1.gene1105.p01	unclassified__histidine kinase	unclassified
AE015929.1.gene1106.p01	unclassified__truncated putative response regulator ArlR	unclassified
AE016830.1.gene1357.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
AE016830.1.gene1786.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
AE016830.1.gene424.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
AE016830.1.gene768.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
AF001493.1.orf0.gene.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
AF002716.gene.p01	macrolide-lincosamide-streptogramin__erm(TR)	macrolide-lincosamide-streptogramin
AF010416.1.gene1.p01	beta-lactam__VEB-1	beta-lactam
AF015087.1.gene1.p01	chloramphenicol__cmrA	chloramphenicol
AF015628.1.gene1.p01	macrolide-lincosamide-streptogramin__vgbB	macrolide-lincosamide-streptogramin
AF015628.1.gene2.p01	macrolide-lincosamide-streptogramin__vatC	macrolide-lincosamide-streptogramin
AF016483.gene.p01	aminoglycoside__aph(2)-IV	aminoglycoside
AF024602.1.gene3.p01	beta-lactam__OXA-20	beta-lactam
AF024602.1.gene5.p01	aminoglycoside__aph(3)-I	aminoglycoside
AF024602.1.gene6.p01	aminoglycoside__aph(6)-I	aminoglycoside
AF024666.2.gene33.p01	chloramphenicol__chloramphenicol exporter	chloramphenicol
AF024666.2.gene42.p01	aminoglycoside__aph(3)-I	aminoglycoside
AF024666.2.gene6.p01	tetracycline__tetA	tetracycline
AF024666.2.gene7.p01	tetracycline__tetB	tetracycline
AF030344.gene.p01	tetracycline__tetV	tetracycline
AF030945.1.gene1.p01	beta-lactam__CARB-6	beta-lactam
AF031326.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031327.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031328.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031329.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031330.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031331.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF031332.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF034958.gene.p01	chloramphenicol__chloramphenicol exporter	chloramphenicol
AF036933.1.gene1.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AF038993.gene.p01	tetracycline__tetJ	tetracycline
AF043381.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF043381.1.gene3.p01	beta-lactam__OXA-19	beta-lactam
AF047171.1.gene1.p01	beta-lactam__TEM-60	beta-lactam
AF047479.2.gene10.p01	aminoglycoside__aadA	aminoglycoside
AF047479.2.gene11.p01	chloramphenicol__catB	chloramphenicol
AF047556.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF064820.3.gene2.p01	beta-lactam__OXA-22	beta-lactam
AF070999.gene.p01	tetracycline__tetY	tetracycline
AF071555.1.gene10.p01	sulfonamide__sul1	sulfonamide
AF071555.1.gene6.p01	tetracycline__tetA	tetracycline
AF072684.2.gene1.p2	beta-lactam__SHV-1	beta-lactam
AF078527.gene.p01	chloramphenicol__cmlA	chloramphenicol
AF079138.1.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(31)	macrolide-lincosamide-streptogramin
AF090141.1.gene1.p1	beta-lactam__GOB-1	beta-lactam
AF090987.gene.p01	tetracycline__tetA	tetracycline
AF091113.2.gene1.p01	beta-lactam__TEM-67	beta-lactam
AF093512.1.gene1.p01	beta-lactam__TEM-10	beta-lactam
AF099139.1.gene1.p01	beta-lactam__IND-1	beta-lactam
AF101781.1.gene1.p01	beta-lactam__PBP-1B	beta-lactam
AF104441.1.gene1.p01	beta-lactam__TEM-53	beta-lactam
AF104442.1.gene1.p01	beta-lactam__TEM-54	beta-lactam
AF110130.1.orf0.gene.p01	macrolide-lincosamide-streptogramin__lnuB	macrolide-lincosamide-streptogramin
AF118107.1.gene2.p01	tetracycline__tetR	tetracycline
AF118110.1.gene1.p01	beta-lactam__CfxA2	beta-lactam
AF121000.gene.p01	tetracycline__tetZ	tetracycline
AF132290.1.gene1.p01	beta-lactam__SHV	beta-lactam
AF133139.gene.p01	tetracycline__tetG	tetracycline
AF133140.gene.p01	tetracycline__tetG	tetracycline
AF135373.1.gene1.p01	beta-lactam__CARB-5	beta-lactam
AF139725.gene.p01	macrolide-lincosamide-streptogramin__vatE	macrolide-lincosamide-streptogramin
AF140221.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
AF143804.1.gene1.p1	beta-lactam__TEM-92	beta-lactam
AF144880.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF148850.1.gene1.p01	beta-lactam__SHV-1	beta-lactam
AF148851.1.gene1.p01	beta-lactam__SHV-2	beta-lactam
AF155139.2.gene2.p01	vancomycin__vanR	vancomycin
AF155139.2.gene3.p01	vancomycin__vanS	vancomycin
AF155139.2.gene4.p01	vancomycin__vanY	vancomycin
AF155139.2.gene5.p01	vancomycin__vanZ	vancomycin
AF155139.2.gene6.p01	vancomycin__vanH	vancomycin
AF155139.2.gene7.p01	vancomycin__vanE	vancomycin
AF155139.2.gene8.p01	vancomycin__vanX	vancomycin
AF156486.gene.p01	chloramphenicol__cmlA	chloramphenicol
AF157553.1.gene1.p1	beta-lactam__TEM-72	beta-lactam
AF162694.1.gene2.p01	vancomycin__vanC	vancomycin
AF162694.1.gene3.p01	vancomycin__vanY	vancomycin
AF162694.1.gene4.p01	vancomycin__vanT	vancomycin
AF162694.1.gene5.p01	vancomycin__vanR	vancomycin
AF162694.1.gene6.p01	vancomycin__vanS	vancomycin
AF162771.1.gene2.p01	aminoglycoside__aac(6)-II	aminoglycoside
AF164577.1.gene1.p01	beta-lactam__SHV-13	beta-lactam
AF167990.3.gene1.p01	beta-lactam__ampC	beta-lactam
AF170880.4.gene1.p01	multidrug__multidrug_ABC_transporter	multidrug
AF174129.3.gene7.p01	sulfonamide__sul1	sulfonamide
AF174129.3.gene9.p01	beta-lactam__CTX-M-51	beta-lactam
AF180952.1.gene3.p01	beta-lactam__ampC	beta-lactam
AF180958.1.gene1.p01	beta-lactam__ampC	beta-lactam
AF188199.1.gene1.p01	beta-lactam__TEM-70	beta-lactam
AF189721.1.gene1.p01	beta-lactam__KLUG-1	beta-lactam
AF190692.1.gene1.p01	beta-lactam__TEM-79	beta-lactam
AF190693.1.gene1.p01	beta-lactam__TEM-78	beta-lactam
AF190694.1.gene1.p01	beta-lactam__TEM-76	beta-lactam
AF190695.1.gene1.p01	beta-lactam__TEM-77	beta-lactam
AF191564.1.gene2.p01	beta-lactam__VIM-2	beta-lactam
AF191564.1.gene5.p01	sulfonamide__sul1	sulfonamide
AF201826.1.gene1.p01	beta-lactam__OXA-25	beta-lactam
AF201827.1.gene1.p01	beta-lactam__OXA-26	beta-lactam
AF201828.gene.p01	beta-lactam__OXA-27	beta-lactam
AF203816.1.gene1.p01	beta-lactam__TEM-188	beta-lactam
AF205943.1.gene12.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
AF205943.1.gene13.p01	chloramphenicol__cmlA	chloramphenicol
AF205943.1.gene15.p01	aminoglycoside__aadA	aminoglycoside
AF205943.1.gene7.p01	aminoglycoside__aadB	aminoglycoside
AF207840.gene.p01	aminoglycoside__aph(2)-II	aminoglycoside
AF208529.2.gene1.p2	beta-lactam__class A beta-lactamase	beta-lactam
AF208796.2.gene1.p01	beta-lactam__SHV	beta-lactam
AF219127.1.gene1.p1	beta-lactam__IND-12	beta-lactam
AF219130.1.gene1.p1	beta-lactam__IND-12	beta-lactam
AF219131.2.gene1.p2	beta-lactam__IND-3	beta-lactam
AF219135.2.gene1.p2	beta-lactam__IND-4	beta-lactam
AF226276.1.gene3.p01	chloramphenicol__catD	chloramphenicol
AF226622.1.gene1.p01	beta-lactam__SHV-14	beta-lactam
AF227204.1.gene1.p01	beta-lactam__SHV	beta-lactam
AF227521.gene.p01	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
AF231133.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF231133.1.gene3.p01	beta-lactam__OXA-28	beta-lactam
AF231986.2.gene2.p01	chloramphenicol__floR	chloramphenicol
AF242872.1.gene2.p01	macrolide-lincosamide-streptogramin__ermB	macrolide-lincosamide-streptogramin
AF244145.1.gene1.p01	beta-lactam__IMP-4	beta-lactam
AF250872.1.gene1.p1	beta-lactam__TEM-87	beta-lactam
AF252623.2.gene1.p01	beta-lactam__CTX-M-14	beta-lactam
AF252855.1.gene1.p01	chloramphenicol__floR	chloramphenicol
AF255298.1.gene1.p1	beta-lactam__CTX-M-10	beta-lactam
AF259520.1.gene4.p01	beta-lactam__cephalosporinase DHA-2	beta-lactam
AF261825.2.gene36.p01	chloramphenicol__floR	chloramphenicol
AF261825.2.gene41.p01	beta-lactam__PSE-1	beta-lactam
AF263519.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF263519.1.gene4.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF275256.gene.p01	beta-lactam__SME-2	beta-lactam
AF277571.gene.p01	vancomycin__vanD	vancomycin
AF290912.1.gene1.p01	beta-lactam__IMP-5	beta-lactam
AF293345.1.gene1.p01	beta-lactam__SHV-27	beta-lactam
AF294653.1.gene2.p01	beta-lactam__OXA-4	beta-lactam
AF300454.1.gene1.p01	beta-lactam__VIM-1	beta-lactam
AF300985.1.gene1.p01	beta-lactam__OXA-36	beta-lactam
AF301532.1.gene1.p01	beta-lactam__SHV-29	beta-lactam
AF305837.gene.p01	beta-lactam__CTX-M	beta-lactam
AF310956.2.gene5.p01	vancomycin__vanH	vancomycin
AF310956.2.gene7.p01	vancomycin__vanX	vancomycin
AF313471.1.gene2.p01	beta-lactam__PSE-4	beta-lactam
AF313472.2.gene15.p01	aminoglycoside__aph(3)-I	aminoglycoside
AF313472.2.gene8.p01	chloramphenicol__cmlA	chloramphenicol
AF315351.1.gene2.p01	beta-lactam__OXA-32	beta-lactam
AF317511.1.gene2.p01	beta-lactam__VIM-1	beta-lactam
AF317511.1.gene5.p01	beta-lactam__OXA-46	beta-lactam
AF318077.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF318077.1.gene2.p01	beta-lactam__IMP-7	beta-lactam
AF319779.2.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(35)	macrolide-lincosamide-streptogramin
AF322577.2.gene2.p01	beta-lactam__IMP-8	beta-lactam
AF324833.1.gene1.p01	beta-lactam__VEB-1	beta-lactam
AF325134.1.gene1.p1	beta-lactam__CTX-M-19	beta-lactam
AF326355.1.gene1.p01	beta-lactam__GES-13	beta-lactam
AF326777.3.gene18.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AF326777.3.gene20.p01	tetracycline__tetA	tetracycline
AF326777.3.gene21.p01	tetracycline__tetC	tetracycline
AF326777.3.gene22.p01	tetracycline__tetD	tetracycline
AF329699.1.gene1.p01	beta-lactam__IBC-2	beta-lactam
AF332513.1.gene1.p01	beta-lactam__TEM-63	beta-lactam
AF332662.1.gene1.p01	chloramphenicol__floR	chloramphenicol
AF336095.1.gene1.p01	multidrug__omp36	multidrug
AF336096.1.gene1.p01	multidrug__omp36	multidrug
AF336097.1.gene1.p01	multidrug__omp36	multidrug
AF336098.1.gene1.p01	multidrug__omp36	multidrug
AF337947.1.gene1.p01	aminoglycoside__aph(2)-II	aminoglycoside
AF337947.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF347054.1.gene1.p1	beta-lactam__TEM-80	beta-lactam
AF350424.1.gene1.p01	beta-lactam__OXA-34	beta-lactam
AF351241.1.gene1.p01	beta-lactam__TEM-90	beta-lactam
AF353562.gene.p01	tetracycline__tet35	tetracycline
AF355189.1.gene2.p01	aminoglycoside__aac(3)-Ib-aac(6)-Ib	aminoglycoside
AF357597.1.gene1.p01	beta-lactam__CMY-10	beta-lactam
AF357599.1.gene1.p01	beta-lactam__CMY-11	beta-lactam
AF367983.gene.p01	beta-lactam__class A beta-lactamase	beta-lactam
AF368302.1.gene3.p01	macrolide-lincosamide-streptogramin__vatD	macrolide-lincosamide-streptogramin
AF371964.1.gene1.p1	beta-lactam__OXA-118	beta-lactam
AF395881.gene.p01	beta-lactam__KPC-3	beta-lactam
AF409092.1.gene1.p01	beta-lactam__CARB-7	beta-lactam
AF416700.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
AF418284.1.gene3.p01	chloramphenicol__catB	chloramphenicol
AF427127.1.gene1.p01	beta-lactam__TEM-81	beta-lactam
AF427128.1.gene1.p01	beta-lactam__TEM-82	beta-lactam
AF427129.1.gene1.p01	beta-lactam__TEM-83	beta-lactam
AF427130.1.gene1.p01	beta-lactam__TEM-84	beta-lactam
AF441286.1.gene1.p01	beta-lactam__MUS-1	beta-lactam
AF441287.1.gene1.p01	beta-lactam__TUS-1	beta-lactam
AF445082.1.gene5.p01	chloramphenicol__catB	chloramphenicol
AF452105.1.gene1.p1	beta-lactam__LEN-15	beta-lactam
AF453998.2.gene4.p01	aminoglycoside__ant(3)-Ih-aac(6)-IId	aminoglycoside
AF458080.1.gene3.p01	chloramphenicol__cmlA	chloramphenicol
AF462019.1.gene1.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AF462611.1.orf0.gene.p01	macrolide-lincosamide-streptogramin__erm(36)	macrolide-lincosamide-streptogramin
AF467947.1.gene1.p1	beta-lactam__SHV-36	beta-lactam
AF467948.1.gene1.p1	beta-lactam__SHV-37	beta-lactam
AF468003.1.gene1.p1	beta-lactam__TEM-111	beta-lactam
AF472622.2.gene1.p01	beta-lactam__CfxA2	beta-lactam
AF479774.1.gene5.p01	aminoglycoside__aac(6)-I	aminoglycoside
AF479774.1.gene7.p01	beta-lactam__OXA-9	beta-lactam
AF488377.1.gene1.p1	beta-lactam__CTX-M	beta-lactam
AF491278.1.gene1.p01	beta-lactam__OXY-3	beta-lactam
AF495873.1.gene1.p1	beta-lactam__TEM-101	beta-lactam
AF506748.1.gene1.p1	beta-lactam__TEM-108	beta-lactam
AF509241.1.gene1.p01	beta-lactam__OXA-24	beta-lactam
AF516719.1.gene1.p1	beta-lactam__TEM-104	beta-lactam
AF516720.1.gene1.p1	beta-lactam__TEM-105	beta-lactam
AF518567.2.gene4.p01	beta-lactam__CTX-M-25	beta-lactam
AF525303.2.gene5.p01	beta-lactam__OXA-60	beta-lactam
AF534183.gene.p01	tetracycline__tetA	tetracycline
AF535127.1.gene1.p01	beta-lactam__TEM-115	beta-lactam
AF535128.1.gene1.p01	beta-lactam__SHV-40	beta-lactam
AF535129.1.gene1.p01	beta-lactam__SHV-41	beta-lactam
AF535130.1.gene1.p01	beta-lactam__SHV-42	beta-lactam
AF547625.1.gene1.p1	beta-lactam__SHV	beta-lactam
AJ005044.1.gene1.p01	beta-lactam__CTX-M-5	beta-lactam
AJ005045.gene.p01	beta-lactam__CTX-M-7	beta-lactam
AJ009818.1.gene3.p01	chloramphenicol__catB	chloramphenicol
AJ011291.1.gene1.p01	beta-lactam__CMY-21	beta-lactam
AJ011293.1.gene1.p01	beta-lactam__CMY-6	beta-lactam
AJ011428.2.gene1.p01	beta-lactam__SHV	beta-lactam
AJ133121.1.gene1.p01	beta-lactam__ampC	beta-lactam
AJ222769.gene.p01	tetracycline__tetW	tetracycline
AJ223604.1.gene5.p01	chloramphenicol__catB	chloramphenicol
AJ223970.1.gene1.p01	macrolide-lincosamide-streptogramin__ermO	macrolide-lincosamide-streptogramin
AJ223970.1.gene2.p01	macrolide-lincosamide-streptogramin__mgtA	macrolide-lincosamide-streptogramin
AJ239002.1.gene1.p01	beta-lactam__TEM-68	beta-lactam
AJ243491.gene.p01	beta-lactam__IMP-2	beta-lactam
AJ249217.gene.p01	unclassified__antibiotic resistance rRNA adenine methyltransferase	unclassified
